path,extension,bytes,width,height,alpha_min,alpha_max,sha256
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-02.png,.png,168150,512,512,255,255,bd2c3109600103a2bf7006eb4819ddbaf90251b71d07efd662694deeb98e9611
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-03.png,.png,157625,512,512,255,255,15aabb98e8d930c3868892349a79b408d77f6b61e841d9e73159ee59d54b4da3
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-04.png,.png,139470,512,512,255,255,0f5407950e6a988881a5ed62856a840a93ffc72d9db3f98c87c57587eb9edfde
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-05.png,.png,75724,512,512,255,255,813d4fc43cf51fa3a4410f9bea19395dae9ba038308afec14118870560237e6f
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-06.png,.png,37831,512,512,255,255,b1e6f231efd1686e0ef3350b3233ac3320e04b64d5a7176c436598b18b2bcd91
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-07.png,.png,19055,512,512,255,255,f70bba33ab8f7bbd4b99f48ba573f053f843ff9502ecf7c0ccef3bc471011cb6
02_enemies/folded_crow/dissolve_8f/opaque_navy/frames/folded-crow-dissolve-8f-frame-08.png,.png,1881,512,512,255,255,a091c0ba6751883dcbda4b12ead2b57d9335b7990c3a9b36e2f9ea035dfd4f1b
02_enemies/folded_crow/dissolve_8f/source/folded-crow-dissolve-8f-imagegen-original-sheet.png,.png,1095847,1774,887,0,255,a8e88e4253050a4d338c0f020d4a22ce1822683cc9df1c517259556c36ac7696
02_enemies/folded_crow/dissolve_8f/transparent/folded-crow-dissolve-8f-sheet.png,.png,922040,2048,1024,0,255,47e8be7c82ac561c51c3cfa63d307d58df9056d486c2f0a635d8f49e95375637
02_enemies/folded_crow/dissolve_8f/transparent/folded-crow-dissolve-8f.gif,.gif,204961,512,512,255,255,0d3cb98f876ae9ab939d4a5818030169b5038d63c51636a1121a6a06e2923374
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-01.png,.png,196451,512,512,0,255,2bbefc98ac1edc84d1d22a9d65fe71603c873e95da15325119a1845b46059230
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-02.png,.png,200289,512,512,0,255,c04735434d58ed91b9cd797bac18f166643c61da04f407cdb862aca6bac6ad09
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-03.png,.png,190326,512,512,0,255,ad89f73e133ba541f0782e8d0b3b2554892dbf70821cc0c179640b0cc38f1d30
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-04.png,.png,172440,512,512,0,255,e1aa00b9104d5af367fec245d393aa79cf32bae59da460e8c588951cfdf507bb
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-05.png,.png,93121,512,512,0,255,c0eb999e683e650529ca26336716e48a10474bfadcb4d0bc8b4b93f187c54171
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-06.png,.png,46478,512,512,0,255,772d817fd6a7e58b410e8c945e25d23da8f2a0f316e615e4dbf6d4352f9c0167
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-07.png,.png,24197,512,512,0,255,82b1f2cc097d621254afd7b805414fcac69744d608a39f5598e9d950c4b6a95a
02_enemies/folded_crow/dissolve_8f/transparent/frames/folded-crow-dissolve-8f-frame-08.png,.png,1097,512,512,0,0,b262bd68d44f93637b9949caf7ff7ce0b6b6ed839c3a2468681952b215ec4d95
02_enemies/folded_crow/role.json,.json,95,,,,,ec1d80fba62ce9209a7f7653d845b62c67d04b2330e379b7ccbcf030e9cf5b20
