path,extension,bytes,width,height,alpha_min,alpha_max,sha256
01_player/jump/transparent/player-jump-sheet.png,.png,595228,2048,1024,0,255,9b115c98979d7da49c6d77eb543ad3c81ff0d819e0322b7ddc6eb632e4ef2199
01_player/jump/transparent/player-jump.gif,.gif,84803,512,512,255,255,1a8914fd60ca8ed10dfe9645f0eb27a122bba3fda7120be6d383cf5d121b6b09
01_player/walk/metadata.json,.json,238,,,,,26d36b98bc49ca834891cdbe5f6070bf236d05fd1a0725ea2202b26e2e905aff
01_player/walk/opaque_navy/frames/player-walk-v7-frame-01.png,.png,90628,512,512,255,255,7fb054d7cae90fda31b3826873511592c0cfeac3a7091b24231d9b972c37e603
01_player/walk/opaque_navy/frames/player-walk-v7-frame-02.png,.png,85548,512,512,255,255,715be4c6b6f5901bffde09b16e415525f7b3cd91f1ee68bba6d7843e295a3c29
01_player/walk/opaque_navy/frames/player-walk-v7-frame-03.png,.png,74183,512,512,255,255,79f7aec7085976246d8a0f1d47d57c856287268eae0e6b1b10e7ecb77f0bd041
01_player/walk/opaque_navy/frames/player-walk-v7-frame-04.png,.png,83462,512,512,255,255,147d3d9a8c71945e5c9f43abd6821b0ac58b357d772ebf47d066cb7b08b0f43b
01_player/walk/opaque_navy/frames/player-walk-v7-frame-05.png,.png,87711,512,512,255,255,a7ce91f2ec92bb7af5a3c8c620b08cccbb748cbc37079a535c9b085db4cdf95d
01_player/walk/opaque_navy/frames/player-walk-v7-frame-06.png,.png,83677,512,512,255,255,2dc890e461d325415d4b7104cd70796705b744c3016ef849ef103b244207c57f
01_player/walk/opaque_navy/frames/player-walk-v7-frame-07.png,.png,73366,512,512,255,255,40b7f77c1e6a9358aff9d6890d00742e3bde2618258e383c14f6b6808abd8c00
01_player/walk/opaque_navy/frames/player-walk-v7-frame-08.png,.png,84240,512,512,255,255,b1d7570b50f5086d325cf2178a24ee478b9100d3ee64ba3e4d14a35a4d599214
01_player/walk/opaque_navy/player-walk-v7-sheet.png,.png,652919,2048,1024,255,255,461d78e0f54209a77c7de24b2c957035e341d47b4d86d167a5f6f32a02cc2427
01_player/walk/opaque_navy/player-walk-v7.gif,.gif,402431,512,512,255,255,176a4a8f24dc0960e9ac59b46e888cdc00a42bca8c1fdb8b8f339398accc0237
01_player/walk/transparent/frames/player-walk-v7-frame-01.png,.png,102391,512,512,0,255,2ae3b03477cd89707b3e175b9329bdf3a0e0a0aae19f45556aea913a2960ee4e
01_player/walk/transparent/frames/player-walk-v7-frame-02.png,.png,97059,512,512,0,255,8b4e4026854660f8a67ffff16931824705fcdb0ed0e734739d629c1a88e72ac8
01_player/walk/transparent/frames/player-walk-v7-frame-03.png,.png,84187,512,512,0,255,4f7ba074d75ae0bc5a46f86c57c9377586ab8b31c710ea1731b8ee22775c1840
01_player/walk/transparent/frames/player-walk-v7-frame-04.png,.png,94692,512,512,0,255,9b37cd8537931882a03a5f47b9c989f8a2713d8965e20941deb8d91920b63b6c
01_player/walk/transparent/frames/player-walk-v7-frame-05.png,.png,99370,512,512,0,255,1d4b3660e65176a69bf0702704ca64474b39edde9d90c62f810463546277d8c3
01_player/walk/transparent/frames/player-walk-v7-frame-06.png,.png,94795,512,512,0,255,cb8b9e973b16df80834331cc1a1b9672bfbf3e676be83aa76f4eb5dded538c7f
01_player/walk/transparent/frames/player-walk-v7-frame-07.png,.png,83042,512,512,0,255,5c2204f1c8a5a85199a2f5adf7707c3cdc38c83a1df79819c3afcef35ed27175
01_player/walk/transparent/frames/player-walk-v7-frame-08.png,.png,95717,512,512,0,255,242cc5677d017951520ca9907b1c1abcad28c68a60af4a63238715d4b4f52b34
01_player/walk/transparent/player-walk-v7-sheet.png,.png,744430,2048,1024,0,255,a99a3135af9acc2dd8bae8ce9bc06ade9cbc7d3be17c5ce1524399bf243a3ed7
01_player/walk/transparent/player-walk-v7.gif,.gif,114201,512,512,255,255,593d4e1835b6f26f1e38074ef7cd5795f128012f480ab2be13119138b5b485b8
01_player/walk_flashlight_outlined/metadata.json,.json,258,,,,,4ce2f3a77171707bd572218252d6713b18c825c0b848c68071a84ae3f5b48736
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-01.png,.png,98116,512,512,255,255,9dae3748deb45855907de1fbf0b08620d00246e48c74f7b6bafef8c9982aecbf
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-02.png,.png,94016,512,512,255,255,6919236daef1b8c0fa5c463bedb917b43546d1172c19a5429a086de4d71416e7
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-03.png,.png,84602,512,512,255,255,42da587ac4e7799b06e5062e6c2ccc6cc279e0e6ae81be68b921b95e97443786
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-04.png,.png,93131,512,512,255,255,47148a1e3999555022270f65fe19f22b1ae1153051193a1f155540e470e23ec2
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-05.png,.png,98116,512,512,255,255,9dae3748deb45855907de1fbf0b08620d00246e48c74f7b6bafef8c9982aecbf
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-06.png,.png,92876,512,512,255,255,a81a68ed3fd0e1fb6c8619f1fa45c39d518dc619855a88856777cb0b81ad488e
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-07.png,.png,84486,512,512,255,255,e2aaeb7b6a25786d556c8d2e246c1c6e7243ed2768653fc3bd460bbcdf438d82
01_player/walk_flashlight_outlined/opaque_navy/frames/player-walk-flashlight-outlined-v9-frame-08.png,.png,93131,512,512,255,255,47148a1e3999555022270f65fe19f22b1ae1153051193a1f155540e470e23ec2
01_player/walk_flashlight_outlined/opaque_navy/player-walk-flashlight-outlined-v9-sheet.png,.png,699751,2048,1024,255,255,afb6cfdf66bc562cb5638e1a898417ad87ea3845fc2e7a07998ff7419275cbf9
